state_name,date,avg_o3
Aguascalientes,2025-09-25,18.221229553222656
Alabama,2025-09-25,16.709903717041016
Alaska,2025-09-25,11.39265988907724
Alberta,2025-09-25,11.635861687038256
Arizona,2025-09-25,16.284038967556423
Arkansas,2025-09-25,16.099728775024413
Baja California,2025-09-25,16.926480594434235
Baja California Sur,2025-09-25,18.313859352698692
British Columbia,2025-09-25,12.869324289519211
California,2025-09-25,15.800007203046013
Campeche,2025-09-25,18.635372797648113
Chihuahua,2025-09-25,17.188929319381714
Coahuila,2025-09-25,17.163991165161132
Colima,2025-09-25,18.657398223876953
Colorado,2025-09-25,15.415436744689941
Durango,2025-09-25,17.810673395792644
Florida,2025-09-25,17.399606432233536
Georgia,2025-09-25,16.436516761779785
Guerrero,2025-09-25,18.690486907958984
Hidalgo,2025-09-25,18.414361000061035
Idaho,2025-09-25,14.225310598100934
Illinois,2025-09-25,15.403608004252115
Indiana,2025-09-25,15.170162200927734
Iowa,2025-09-25,14.798810640970865
Kansas,2025-09-25,15.791741847991943
Kentucky,2025-09-25,15.732930183410645
Louisiana,2025-09-25,17.302920254794035
Manitoba,2025-09-25,12.187390439650592
Michigan,2025-09-25,14.31288931104872
Michoacán,2025-09-25,18.72766876220703
Minnesota,2025-09-25,13.813138008117676
Mississippi,2025-09-25,16.53813648223877
Missouri,2025-09-25,15.464520772298178
Montana,2025-09-25,13.586163154015175
Nayarit,2025-09-25,18.490180587768556
Nebraska,2025-09-25,14.985880470275879
Nevada,2025-09-25,15.357369661331177
New Mexico,2025-09-25,16.100272602505154
North Dakota,2025-09-25,13.123802502950033
Northwest Territories,2025-09-25,10.492210578918456
Nuevo León,2025-09-25,17.830068588256836
Ohio,2025-09-25,15.019438743591309
Oklahoma,2025-09-25,16.173366137913295
Ontario,2025-09-25,12.115917533636093
Oregon,2025-09-25,14.36256992816925
Puebla,2025-09-25,18.497529983520508
Querétaro,2025-09-25,18.523881912231445
Quintana Roo,2025-09-25,18.530119635842063
San Luis Potosí,2025-09-25,17.904844284057617
Saskatchewan,2025-09-25,11.95652141571045
Sinaloa,2025-09-25,18.042194366455078
Sonora,2025-09-25,17.30341360304091
South Carolina,2025-09-25,9.445971488952637
South Dakota,2025-09-25,14.094489097595215
Tabasco,2025-09-25,18.977386474609375
Tamaulipas,2025-09-25,17.859129224504745
Tennessee,2025-09-25,15.894548416137695
Texas,2025-09-25,16.948377064296178
Utah,2025-09-25,15.230376349555122
Veracruz,2025-09-25,18.299357986450197
Washington,2025-09-25,13.582793235778809
West Virginia,2025-09-25,15.410316467285156
Wisconsin,2025-09-25,14.343881607055664
Wyoming,2025-09-25,14.628426710764566
Yucatán,2025-09-25,18.024845759073894
Yukon,2025-09-25,9.604798372586568
Zacatecas,2025-09-25,17.595046997070312
